method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid
euler,2,0.9,2.0,16,barker,14.251422
euler,2,0.9,2.0,32,forward_backward,9.191922
euler,2,0.9,0.02,32,mpf,10.494964
euler,2,0.9,2.0,32,barker,11.064866
euler,2,0.9,2.0,64,forward_backward,8.667799
euler,2,0.9,0.02,64,mpf,10.556244
euler,2,0.9,2.0,64,barker,9.960461
euler,2,0.9,2.0,128,forward_backward,8.459847
euler,2,0.9,0.02,128,mpf,10.622004
euler,2,0.9,2.0,128,barker,9.076826
euler,2,0.9,1.0,16,forward_backward,10.347038
euler,2,0.9,0.01,16,mpf,9.555237
euler,2,0.9,1.0,16,barker,13.652563
euler,2,0.9,1.0,32,forward_backward,9.041483
euler,2,0.9,0.01,32,mpf,9.280367
euler,2,0.9,1.0,32,barker,10.811394
euler,2,0.9,1.0,64,forward_backward,8.833673
euler,2,0.9,0.01,64,mpf,9.336738
euler,2,0.9,1.0,64,barker,9.73679
euler,2,0.9,1.0,128,forward_backward,8.585589
euler,2,0.9,0.01,128,mpf,9.245991
euler,2,0.9,1.0,128,barker,9.342873
euler,2,0.9,5.0,16,forward_backward,24.357037
euler,2,0.9,0.05,16,mpf,12.417277
euler,2,0.9,5.0,16,barker,17.079304
euler,2,0.9,5.0,32,forward_backward,12.257635
euler,2,0.9,0.05,32,mpf,12.647964
euler,2,0.9,5.0,32,barker,13.015808
euler,2,0.9,5.0,64,forward_backward,9.297558
euler,2,0.9,0.05,64,mpf,12.5472555
euler,2,0.9,5.0,64,barker,10.783285
euler,2,0.9,5.0,128,forward_backward,8.786683
euler,2,0.9,0.05,128,mpf,12.799753
euler,2,0.9,5.0,128,barker,9.486695
euler,2,0.5,2.0,16,forward_backward,13.186467
euler,2,0.5,0.02,16,mpf,9.919388
euler,2,0.5,2.0,16,barker,14.4939375
euler,2,0.5,2.0,32,forward_backward,10.297061
euler,2,0.5,0.02,32,mpf,9.14856
euler,2,0.5,2.0,32,barker,11.217322
euler,2,0.5,2.0,64,forward_backward,9.076632
euler,2,0.5,0.02,64,mpf,9.115095
euler,2,0.5,2.0,64,barker,9.625654
euler,2,0.5,2.0,128,forward_backward,8.743092
euler,2,0.5,0.02,128,mpf,9.032197
euler,2,0.5,2.0,128,barker,9.095359
euler,2,0.5,1.0,16,forward_backward,12.743375
euler,2,0.5,0.01,16,mpf,11.206397
euler,2,0.5,1.0,16,barker,14.212748
euler,2,0.5,1.0,32,forward_backward,11.0860815
euler,2,0.5,0.01,32,mpf,10.15324
euler,2,0.5,1.0,32,barker,11.286722
euler,2,0.5,1.0,64,forward_backward,9.996061
euler,2,0.5,0.01,64,mpf,9.634045
euler,2,0.5,1.0,64,barker,10.123312
euler,2,0.5,1.0,128,forward_backward,9.492461
euler,2,0.5,0.01,128,mpf,9.447314
euler,2,0.5,1.0,128,barker,9.554239
euler,2,0.5,5.0,16,forward_backward,19.984436
euler,2,0.5,0.05,16,mpf,9.890377
euler,2,0.5,5.0,16,barker,17.029902
euler,2,0.5,5.0,32,forward_backward,11.644966
euler,2,0.5,0.05,32,mpf,9.524748
euler,2,0.5,5.0,32,barker,12.756691
euler,2,0.5,5.0,64,forward_backward,8.934969
euler,2,0.5,0.05,64,mpf,9.467698
euler,2,0.5,5.0,64,barker,10.451538
euler,2,0.5,5.0,128,forward_backward,8.37909
euler,2,0.5,0.05,128,mpf,9.560776
euler,2,0.5,5.0,128,barker,9.426538
euler,2,0.3,2.0,16,forward_backward,13.896752
euler,2,0.3,0.02,16,mpf,11.809319
euler,2,0.3,2.0,16,barker,14.309859
euler,2,0.3,2.0,32,forward_backward,11.236973
euler,2,0.3,0.02,32,mpf,10.839738
euler,2,0.3,2.0,32,barker,11.565128
euler,2,0.3,2.0,64,forward_backward,10.05797
euler,2,0.3,0.02,64,mpf,10.205609
euler,2,0.3,2.0,64,barker,10.065754
euler,2,0.3,2.0,128,forward_backward,9.718216
euler,2,0.3,0.02,128,mpf,10.006091
euler,2,0.3,2.0,128,barker,9.603283
euler,2,0.3,1.0,16,forward_backward,14.304415
euler,2,0.3,0.01,16,mpf,13.07829
euler,2,0.3,1.0,16,barker,14.399507
euler,2,0.3,1.0,32,forward_backward,11.998833
euler,2,0.3,0.01,32,mpf,11.446872
euler,2,0.3,1.0,32,barker,11.902496
euler,2,0.3,1.0,64,forward_backward,10.840811
